event,event_bj,direction,type,caught,cooldown_by,lead_time_min
2025-05-05 03:32,2025-05-05 11:32,UP↑,B,YES,2025-05-05 03:10,22.0
2025-05-06 14:42,2025-05-06 22:42,UP↑,A,YES,2025-05-06 14:16,26.0
2025-05-08 03:09,2025-05-08 11:09,DN↓,A,NO,,
2025-05-11 14:00,2025-05-11 22:00,DN↓,B,NO,,
2025-05-15 07:41,2025-05-15 15:41,UP↑,A,YES,2025-05-15 07:36,5.0
2025-06-02 02:21,2025-06-02 10:21,UP↑,B,YES,,
2025-09-24 11:37,,DN↓,,NO_DATA,,
2025-10-08 01:04,2025-10-08 09:04,UP↑,A,YES,2025-10-08 01:00,4.0
2025-10-30 03:00,2025-10-30 11:00,UP↑,A,YES,2025-10-30 02:57,3.0
2025-10-30 07:46,2025-10-30 15:46,UP↑,B,YES,2025-10-30 07:31,15.0
2025-11-18 12:57,2025-11-18 20:57,UP↑,B,YES,2025-11-18 12:56,1.0
2025-12-12 04:16,2025-12-12 12:16,UP↑,B,NO,,
2025-12-22 18:42,,UP↑,,NO_DATA,,
2026-01-20 03:07,2026-01-20 11:07,UP↑,A,YES,2026-01-20 02:07,60.0
2026-01-20 23:56,2026-01-21 07:56,UP↑,B,YES,2026-01-20 23:01,55.0
2026-01-22 15:07,2026-01-22 23:07,UP↑,A,YES,,
2026-02-01 15:06,,DN↓,,NO_DATA,,
2026-02-18 01:39,2026-02-18 09:39,UP↑,A,YES,,
2026-02-23 14:00,2026-02-23 22:00,UP↑,B,YES,2026-02-23 13:40,20.0
2026-03-20 07:10,2026-03-20 15:10,UP↑,A,YES,2026-03-20 06:30,40.0
2026-04-06 03:40,2026-04-06 11:40,UP↑,B,YES,2026-04-06 03:11,29.0
2026-04-22 22:00,2026-04-23 06:00,DN↓,B,NO,,
2026-04-23 10:19,2026-04-23 18:19,UP↑,B,YES,2026-04-23 09:51,28.0
2026-05-12 16:23,2026-05-13 00:23,UP↑,B,YES,2026-05-12 15:30,53.0
2026-05-26 18:02,2026-05-27 02:02,UP↑,B,YES,2026-05-26 17:28,34.0
2026-06-02 02:40,2026-06-02 10:40,UP↑,A,YES,2026-06-02 02:03,37.0
2026-06-24 16:35,2026-06-25 00:35,DN↓,B,YES,2026-06-24 15:45,50.0
2026-07-01 10:11,2026-07-01 18:11,UP↑,B,YES,,
2026-07-08 15:30,2026-07-08 23:30,UP↑,B,YES,2026-07-08 15:18,12.0
2026-07-15 16:56,2026-07-16 00:56,UP↑,B,YES,2026-07-15 16:02,54.0
2026-07-29 14:43,2026-07-29 22:43,UP↑,A,YES,2026-07-29 14:39,4.0
2026-08-05 01:10,2026-08-05 09:10,UP↑,A,NO,,
2026-08-05 10:02,2026-08-05 18:02,UP↑,B,YES,2026-08-05 09:56,6.0
2026-09-11 03:45,2026-09-11 11:45,UP↑,B,YES,2026-09-11 02:45,60.0
2026-09-16 01:56,2026-09-16 09:56,UP↑,A,YES,,
