feature,gain,split
wti_dist_from_lo_60_pct,758459485.406784,15
time_dow_cos,376066696.0,2
time_hour_sin,121840517.5,5
wti_dist_from_hi_60_pct,84585632.47564697,17
xau_net_ret_60,50299411.50086427,6
wti_tr_ratio_20v60,44537407.62988281,4
xau_dist_from_lo_60_pct,29723560.0,6
wti_range_60_pct,21407693.30078125,3
wti_net_ret_60,6669454.800048828,5
wti_net_ret_30,6448638.0,2
spx_dist_from_lo_60_pct,6141199.7705078125,9
time_hour_cos,5171922.0,2
xau_net_ret_15,3086195.2001953125,3
spx_tr,2423300.0,1
spx_net_ret_15,840185.325012207,2
wti_net_ret_15,208786.0,1
xau_dist_from_hi_60_pct,190945.203125,2
xau_tr,66332.501953125,17
spx_dist_from_hi_60_pct,56320.69921875,2
xau_range_60_pct,2074.530029296883,3
xau_net_ret_30,12.923999786376953,1
wti_tr_ratio_5v60,11.682900428771973,1
xau_tr_ratio_5v60,5.773157652820093e-14,3
wti_tr,1.7763600157738027e-15,1
xau_tr_ratio_20v60,5.551119755337213e-17,1
xau_dir_cons_15,0.0,0
xau_dir_cons_5,0.0,0
wti_dir_cons_5,0.0,0
wti_dir_cons_15,0.0,0
spx_net_ret_30,0.0,0
spx_dir_cons_15,0.0,0
spx_dir_cons_5,0.0,0
spx_tr_ratio_20v60,0.0,0
spx_tr_ratio_5v60,0.0,0
spx_net_ret_60,0.0,0
spx_range_60_pct,0.0,0
time_dow_sin,0.0,0
